COUNTY_NAME,POVERTY_RATE,POPULATION
Alameda ,12,1487888
Alpine ,14,1160
Amador ,11,33228
Butte ,21,214624
Calaveras ,10,44740
Colusa ,15,21041
Contra Costa ,10,1042528
Del Norte ,22,24974
El Dorado ,8,179280
Fresno ,25,913669
Glenn ,20,27581
Humboldt ,20,130315
Imperial ,23,163074
Inyo ,11,17938
Kern ,23,804199
Kings ,21,134003
Lake ,24,63365
Lassen ,15,24197
Los Angeles ,17,9684503
Madera ,21,141598
Marin ,8,244670
Mariposa ,15,18047
Mendocino ,19,86212
Merced ,25,252170
Modoc ,20,9171
Mono ,10,14058
Monterey ,16,397891
Napa ,10,133196
Nevada ,12,97719
Orange ,12,2985156
Placer ,8,347344
Plumas ,14,19627
Riverside ,16,2157713
Sacramento ,17,1396487
San Benito ,13,55176
San Bernardino ,18,1995666
San Diego ,14,3019666
San Francisco ,13,795816
San Joaquin ,18,672265
San Luis Obispo ,14,254132
San Mateo ,7,713363
Santa Barbara ,15,406340
Santa Clara ,10,1761326
Santa Cruz ,14,253753
Shasta ,18,174707
Sierra ,17,3132
Siskiyou ,20,44039
Solano ,12,397076
Sonoma ,12,476043
Stanislaus ,19,508890
Sutter ,17,93434
Tehama ,20,62314
Trinity ,18,13409
Tulare ,25,435395
Tuolumne ,13,51217
Ventura ,10,811132
Yolo ,19,193063
Yuba ,21,70740
