AGENCY_NAME,data_year,Crimes Against Persons,Crimes Against Society,Crimes Against Property
Alameda County Sheriff's Department,2017,757,2400,606
Alameda County Sheriff's Department,2018,831,2200,634
Alameda County Sheriff's Department,2019,769,2138,577
Alameda County Sheriff's Department,2020,815,1553,611
Alameda County Sheriff's Department,2022,691,1018,626
Alameda E. Bay Reg. Park Dist.,2017,25,69,27
Alameda E. Bay Reg. Park Dist.,2018,51,122,45
Alameda E. Bay Reg. Park Dist.,2019,38,73,34
Alameda E. Bay Reg. Park Dist.,2020,20,43,38
Alameda E. Bay Reg. Park Dist.,2022,14,34,34
Alameda Police Department,2017,236,457,231
Alameda Police Department,2018,257,445,211
Alameda Police Department,2019,300,445,223
Alameda Police Department,2020,266,217,178
Alameda Police Department,2021,27,55,30
Alameda Police Department,2022,238,268,299
Albany Police Department,2017,27,169,177
Albany Police Department,2018,51,161,182
Albany Police Department,2019,50,107,126
Albany Police Department,2020,17,38,44
Albany Police Department,2021,11,37,24
Albany Police Department,2022,29,54,60
Alhambra Police Department,2017,215,384,359
Alhambra Police Department,2018,255,411,331
Alhambra Police Department,2019,249,436,441
Alhambra Police Department,2020,220,372,215
Alhambra Police Department,2021,254,425,343
Alhambra Police Department,2022,262,361,384
Allan Hancock College Police Department,2017,1,3,1
Allan Hancock College Police Department,2018,0,8,0
Allan Hancock College Police Department,2019,6,2,1
Allan Hancock College Police Department,2020,0,4,0
Allan Hancock College Police Department,2022,2,10,4
Alpine County Sheriff's Department,2017,6,10,2
Alpine County Sheriff's Department,2018,8,10,7
Alpine County Sheriff's Department,2019,20,10,9
Alpine County Sheriff's Department,2020,16,2,3
Alpine County Sheriff's Department,2022,12,8,3
Alturas Police Department,2017,40,51,28
Alturas Police Department,2018,49,81,18
Alturas Police Department,2019,39,101,23
Alturas Police Department,2020,47,91,21
Alturas Police Department,2022,24,34,20
Amador County Sheriff's Department,2017,80,123,64
Amador County Sheriff's Department,2018,85,144,44
Amador County Sheriff's Department,2019,85,186,66
Amador County Sheriff's Department,2020,64,142,36
Amador County Sheriff's Department,2022,73,90,46
Anaheim Police Department,2017,1792,3263,1795
Anaheim Police Department,2018,1755,4206,1678
Anaheim Police Department,2019,1664,4303,1500
Anaheim Police Department,2020,1483,2909,1333
Anaheim Police Department,2021,310,631,380
Anaheim Police Department,2022,1301,2856,1599
Anderson Police Department,2017,77,501,146
Anderson Police Department,2018,96,514,149
Anderson Police Department,2019,90,542,157
Anderson Police Department,2020,102,448,110
Anderson Police Department,2022,81,615,153
Angels Camp Police Department,2017,47,144,32
Angels Camp Police Department,2018,41,93,35
Angels Camp Police Department,2019,25,57,23
Angels Camp Police Department,2020,23,43,17
Angels Camp Police Department,2022,28,39,16
Antioch Police Department,2017,860,594,1116
Antioch Police Department,2018,791,624,876
Antioch Police Department,2019,728,458,800
Antioch Police Department,2020,548,476,764
Antioch Police Department,2021,21,11,38
Antioch Police Department,2022,345,148,327
Arcadia Police Department,2017,115,385,437
Arcadia Police Department,2018,101,388,363
Arcadia Police Department,2019,115,360,331
Arcadia Police Department,2020,100,141,145
Arcadia Police Department,2021,71,167,200
Arcadia Police Department,2022,93,147,215
Arcata Police Department,2017,158,510,165
Arcata Police Department,2018,132,352,199
Arcata Police Department,2019,122,374,164
Arcata Police Department,2020,101,194,101
Arcata Police Department,2022,117,448,124
Arroyo Grande Police Department,2017,83,387,88
Arroyo Grande Police Department,2018,90,275,94
Arroyo Grande Police Department,2019,66,268,73
Arroyo Grande Police Department,2020,51,222,53
Arroyo Grande Police Department,2021,48,65,26
Arroyo Grande Police Department,2022,39,105,42
Arvin Police Department,2017,116,75,61
Arvin Police Department,2018,92,57,74
Arvin Police Department,2019,118,65,58
Arvin Police Department,2020,138,84,71
Arvin Police Department,2022,83,56,55
Atascadero Police Department,2017,124,392,101
Atascadero Police Department,2018,112,485,102
Atascadero Police Department,2019,93,441,98
Atascadero Police Department,2020,94,481,74
Atascadero Police Department,2021,37,284,38
Atascadero Police Department,2022,68,229,50
Atherton Police Department,2017,7,38,3
Atherton Police Department,2018,5,49,15
Atherton Police Department,2019,2,37,17
Atherton Police Department,2020,3,43,13
Atherton Police Department,2022,8,75,24
Auburn Police Department,2017,80,309,54
Auburn Police Department,2018,88,240,48
Auburn Police Department,2019,81,201,53
Auburn Police Department,2020,46,140,24
Auburn Police Department,2021,3,23,1
Auburn Police Department,2022,96,169,57
Azusa Police Department,2017,200,690,265
Azusa Police Department,2018,180,548,203
Azusa Police Department,2019,205,539,268
Azusa Police Department,2020,178,420,194
Azusa Police Department,2022,191,378,211
BART Police Department,2017,210,168,105
BART Police Department,2018,250,246,133
BART Police Department,2019,282,329,174
BART Police Department,2020,210,283,117
BART Police Department,2022,283,436,127
Bakersfield Police Department,2017,2843,6886,3227
Bakersfield Police Department,2018,2584,5118,2905
Bakersfield Police Department,2019,2586,5237,2975
Bakersfield Police Department,2020,2203,3242,2478
Bakersfield Police Department,2022,2444,2719,3342
Baldwin Park Police Department,2017,267,581,323
Baldwin Park Police Department,2018,270,620,334
Baldwin Park Police Department,2019,202,519,267
Baldwin Park Police Department,2020,182,246,160
Baldwin Park Police Department,2021,127,113,150
Baldwin Park Police Department,2022,186,194,222
Banning Police Department,2017,145,353,127
Banning Police Department,2018,149,228,109
Banning Police Department,2019,112,205,109
Banning Police Department,2020,111,159,112
Banning Police Department,2022,105,155,88
Bear Valley Police Department,2017,9,7,6
Bear Valley Police Department,2018,11,12,6
Bear Valley Police Department,2019,13,8,2
Bear Valley Police Department,2020,5,8,0
Bear Valley Police Department,2022,2,3,4
Beaumont Police Department,2017,166,343,187
Beaumont Police Department,2018,128,316,151
Beaumont Police Department,2019,106,240,140
Beaumont Police Department,2020,100,227,114
Beaumont Police Department,2021,113,217,159
Beaumont Police Department,2022,100,149,140
Bell Gardens Police Department,2017,166,296,152
Bell Gardens Police Department,2018,155,435,181
Bell Gardens Police Department,2019,152,450,229
Bell Gardens Police Department,2020,174,306,222
Bell Gardens Police Department,2022,167,182,160
Bell Police Department,2017,171,290,137
Bell Police Department,2018,158,300,140
Bell Police Department,2019,185,341,134
Bell Police Department,2020,163,239,149
Bell Police Department,2022,125,128,99
Belmont Police Department,2017,39,111,34
Belmont Police Department,2018,41,109,34
Belmont Police Department,2019,34,122,38
Belmont Police Department,2020,35,123,48
Belmont Police Department,2021,9,57,29
Belmont Police Department,2022,31,118,66
Belvedere Police Department,2017,1,1,1
Belvedere Police Department,2018,3,3,0
Belvedere Police Department,2019,1,5,1
Belvedere Police Department,2020,1,4,0
Belvedere Police Department,2022,1,2,0
Benicia Police Department,2017,111,183,106
Benicia Police Department,2018,101,190,89
Benicia Police Department,2019,99,144,48
Benicia Police Department,2020,78,82,34
Benicia Police Department,2022,59,103,74
Berkeley Police Department,2017,600,1159,667
Berkeley Police Department,2018,393,609,652
Berkeley Police Department,2019,441,740,758
Berkeley Police Department,2020,406,498,666
Berkeley Police Department,2022,435,454,674
Beverly Hills Police Department,2017,178,474,438
Beverly Hills Police Department,2018,216,637,488
Beverly Hills Police Department,2019,214,601,591
Beverly Hills Police Department,2020,194,459,625
Beverly Hills Police Department,2022,199,316,456
Bishop Police Department,2017,80,122,74
Bishop Police Department,2018,52,137,132
Bishop Police Department,2019,53,86,61
Bishop Police Department,2020,22,95,42
Bishop Police Department,2022,43,72,19
Blythe Police Department,2017,123,209,118
Blythe Police Department,2018,100,208,114
Blythe Police Department,2019,121,194,87
Blythe Police Department,2020,85,142,84
Blythe Police Department,2022,82,204,96
Brawley Police Department,2017,192,550,192
Brawley Police Department,2018,214,647,184
Brawley Police Department,2019,182,463,194
Brawley Police Department,2020,146,145,100
Brawley Police Department,2022,146,81,119
Brea Police Department,2017,154,704,419
Brea Police Department,2018,117,806,390
Brea Police Department,2019,117,656,456
Brea Police Department,2020,80,560,302
Brea Police Department,2021,91,326,299
Brea Police Department,2022,84,231,370
Brentwood Police Department,2017,249,540,336
Brentwood Police Department,2018,261,559,285
Brentwood Police Department,2019,227,496,290
Brentwood Police Department,2020,157,292,189
Brentwood Police Department,2022,155,258,246
Brisbane Police Department,2017,17,123,15
Brisbane Police Department,2018,23,142,18
Brisbane Police Department,2019,20,189,28
Brisbane Police Department,2020,18,174,21
Brisbane Police Department,2022,13,47,10
Broadmoor Police Department,2017,25,107,27
Broadmoor Police Department,2018,23,134,21
Broadmoor Police Department,2019,8,73,17
Broadmoor Police Department,2020,19,55,15
Broadmoor Police Department,2022,16,110,17
Buena Park Police Department,2017,241,1369,798
Buena Park Police Department,2018,270,1365,722
Buena Park Police Department,2019,263,1280,590
Buena Park Police Department,2020,270,1273,564
Buena Park Police Department,2022,266,783,453
Burbank Police Department,2017,411,1468,782
Burbank Police Department,2018,428,1607,781
Burbank Police Department,2019,441,1498,779
Burbank Police Department,2020,317,1193,770
Burbank Police Department,2021,29,65,88
Burbank Police Department,2022,344,1048,1255
Burlingame Police Department,2017,70,222,85
Burlingame Police Department,2018,81,269,93
Burlingame Police Department,2019,100,239,118
Burlingame Police Department,2020,99,231,112
Burlingame Police Department,2022,81,178,79
Butte County Sheriff's Department,2017,436,1210,539
Butte County Sheriff's Department,2018,494,1173,425
Butte County Sheriff's Department,2019,488,1084,454
Butte County Sheriff's Department,2020,557,779,339
Butte County Sheriff's Department,2022,355,429,216
CA Highway Patrol - Sacramento,2017,26,2112,70
