AGENCY_NAME,data_year,Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc.","Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)"
Alameda Police Department,2017,97,273,4,29,0,2,114,110,201,2,5,8,0,0,0,71,1,0,31,0,0,27,8,49,118,8,0,2,6,18,13
Alameda Police Department,2018,109,250,0,45,0,5,87,200,130,0,4,4,0,0,0,76,2,0,16,2,0,20,3,23,131,1,0,1,14,28,12
Alameda Police Department,2019,90,293,3,32,0,4,121,317,2,5,4,6,0,0,0,81,1,0,20,0,0,0,1,18,197,6,0,0,17,31,12
Alameda Police Department,2020,87,182,5,22,0,3,69,144,0,1,3,4,0,0,0,71,1,0,19,1,0,0,1,14,160,5,0,0,22,12,17
Alameda Police Department,2021,2,28,0,1,0,16,32,7,0,1,0,0,0,1,0,14,0,0,2,0,0,0,2,5,19,3,0,0,1,3,3
Alameda Police Department,2022,47,151,8,14,0,71,115,80,0,1,3,8,0,0,0,113,0,0,25,1,1,1,2,26,181,33,0,0,38,30,7
Albany Police Department,2017,10,45,1,22,0,1,59,77,31,3,4,5,0,0,0,93,1,0,11,0,0,0,0,10,17,5,0,0,11,12,0
Albany Police Department,2018,16,46,0,23,0,0,50,80,25,3,11,10,0,0,0,93,1,0,9,3,0,0,0,10,29,4,0,5,12,7,3
Albany Police Department,2019,18,43,1,10,0,2,35,63,7,1,1,5,0,0,0,67,0,0,4,0,0,0,3,4,26,8,0,0,13,12,3
Albany Police Department,2020,6,26,1,1,0,0,14,18,6,0,3,0,0,0,0,14,0,0,5,0,0,0,0,2,9,3,0,0,13,2,2
Albany Police Department,2021,4,11,1,1,0,4,28,5,0,0,1,1,0,0,0,8,0,0,1,0,0,0,0,2,7,2,0,0,2,5,0
Albany Police Department,2022,10,37,4,5,0,6,39,7,0,0,0,2,0,0,0,23,0,0,3,0,0,0,0,2,18,10,0,2,5,6,1
Alhambra Police Department,2017,91,268,2,88,0,2,70,252,58,4,10,16,0,0,0,85,2,1,39,3,0,0,3,26,105,20,0,0,28,41,12
Alhambra Police Department,2018,118,268,0,133,0,2,74,265,48,2,4,10,0,0,0,90,22,0,23,1,0,0,5,7,119,9,0,0,29,24,12
Alhambra Police Department,2019,122,292,2,162,0,0,73,299,62,2,5,11,0,0,0,147,0,0,25,3,1,1,1,26,111,2,0,0,28,31,12
Alhambra Police Department,2020,114,171,2,53,0,2,71,263,35,3,3,1,0,0,0,62,0,0,21,1,0,0,3,11,94,2,0,1,30,27,8
Alhambra Police Department,2021,73,388,0,22,0,77,102,240,0,1,6,96,0,0,0,101,4,0,17,1,0,1,1,25,175,18,0,1,24,33,4
Alhambra Police Department,2022,43,301,2,28,0,82,92,181,0,4,8,80,3,0,0,136,2,0,30,0,0,0,2,30,215,17,0,1,24,25,2
Anaheim Police Department,2017,822,2019,14,281,0,28,465,2262,403,10,40,44,0,0,0,436,65,1,113,13,0,34,35,152,824,272,0,6,211,222,97
Anaheim Police Department,2018,830,2380,9,280,0,3,571,2975,496,1,49,58,0,0,0,398,72,0,83,6,0,44,28,150,799,248,0,45,173,229,92
Anaheim Police Department,2019,737,2178,18,281,0,10,640,3028,501,7,35,29,3,0,0,336,56,1,58,15,0,48,23,155,775,176,0,17,191,214,113
Anaheim Police Department,2020,693,1495,14,185,0,13,442,2142,212,2,8,31,18,0,0,302,19,0,82,22,0,41,30,144,642,176,0,22,195,194,96
Anaheim Police Department,2021,257,684,1,30,0,103,195,300,0,1,10,32,0,4,0,55,7,0,38,1,0,22,5,44,43,63,0,4,41,65,0
Anaheim Police Department,2022,807,3232,12,129,2,415,688,1567,0,2,33,159,4,1,2,244,37,0,139,11,0,97,20,128,448,251,0,46,180,322,12
