AGENCY_NAME,data_year,Crimes Against Persons,Crimes Against Society,Crimes Against Property
Alameda Police Department,2017,236,457,231
Alameda Police Department,2018,257,445,211
Alameda Police Department,2019,300,445,223
Alameda Police Department,2020,266,217,178
Alameda Police Department,2021,27,55,30
Alameda Police Department,2022,238,268,299
Albany Police Department,2017,27,169,177
Albany Police Department,2018,51,161,182
Albany Police Department,2019,50,107,126
Albany Police Department,2020,17,38,44
Albany Police Department,2021,11,37,24
Albany Police Department,2022,29,54,60
Alhambra Police Department,2017,215,384,359
Alhambra Police Department,2018,255,411,331
Alhambra Police Department,2019,249,436,441
Alhambra Police Department,2020,220,372,215
Alhambra Police Department,2021,254,425,343
Alhambra Police Department,2022,262,361,384
Anaheim Police Department,2017,1792,3263,1795
Anaheim Police Department,2018,1755,4206,1678
Anaheim Police Department,2019,1664,4303,1500
Anaheim Police Department,2020,1483,2909,1333
Anaheim Police Department,2021,310,631,380
Anaheim Police Department,2022,1301,2856,1599
Antioch Police Department,2017,860,594,1116
Antioch Police Department,2018,791,624,876
Antioch Police Department,2019,728,458,800
Antioch Police Department,2020,548,476,764
Antioch Police Department,2021,21,11,38
Antioch Police Department,2022,345,148,327
Arcadia Police Department,2017,115,385,437
Arcadia Police Department,2018,101,388,363
Arcadia Police Department,2019,115,360,331
Arcadia Police Department,2020,100,141,145
Arcadia Police Department,2021,71,167,200
Arcadia Police Department,2022,93,147,215
Arroyo Grande Police Department,2017,83,387,88
Arroyo Grande Police Department,2018,90,275,94
Arroyo Grande Police Department,2019,66,268,73
Arroyo Grande Police Department,2020,51,222,53
Arroyo Grande Police Department,2021,48,65,26
Arroyo Grande Police Department,2022,39,105,42
Atascadero Police Department,2017,124,392,101
Atascadero Police Department,2018,112,485,102
Atascadero Police Department,2019,93,441,98
Atascadero Police Department,2020,94,481,74
Atascadero Police Department,2021,37,284,38
Atascadero Police Department,2022,68,229,50
Auburn Police Department,2017,80,309,54
Auburn Police Department,2018,88,240,48
Auburn Police Department,2019,81,201,53
Auburn Police Department,2020,46,140,24
Auburn Police Department,2021,3,23,1
Auburn Police Department,2022,96,169,57
Baldwin Park Police Department,2017,267,581,323
Baldwin Park Police Department,2018,270,620,334
Baldwin Park Police Department,2019,202,519,267
Baldwin Park Police Department,2020,182,246,160
Baldwin Park Police Department,2021,127,113,150
Baldwin Park Police Department,2022,186,194,222
Beaumont Police Department,2017,166,343,187
Beaumont Police Department,2018,128,316,151
Beaumont Police Department,2019,106,240,140
Beaumont Police Department,2020,100,227,114
Beaumont Police Department,2021,113,217,159
Beaumont Police Department,2022,100,149,140
Belmont Police Department,2017,39,111,34
Belmont Police Department,2018,41,109,34
Belmont Police Department,2019,34,122,38
Belmont Police Department,2020,35,123,48
Belmont Police Department,2021,9,57,29
Belmont Police Department,2022,31,118,66
Brea Police Department,2017,154,704,419
Brea Police Department,2018,117,806,390
Brea Police Department,2019,117,656,456
Brea Police Department,2020,80,560,302
Brea Police Department,2021,91,326,299
Brea Police Department,2022,84,231,370
Burbank Police Department,2017,411,1468,782
Burbank Police Department,2018,428,1607,781
Burbank Police Department,2019,441,1498,779
Burbank Police Department,2020,317,1193,770
Burbank Police Department,2021,29,65,88
Burbank Police Department,2022,344,1048,1255
CA Highway Patrol - Sacramento,2017,26,2112,70
CA Highway Patrol - Sacramento,2018,56,2735,60
CA Highway Patrol - Sacramento,2019,121,3515,208
CA Highway Patrol - Sacramento,2020,116,2217,158
CA Highway Patrol - Sacramento,2021,0,26,0
CA Highway Patrol - Sacramento,2022,0,842,8
CSU Long Beach Police Department,2017,10,21,17
CSU Long Beach Police Department,2018,8,23,6
CSU Long Beach Police Department,2019,6,26,8
CSU Long Beach Police Department,2020,1,5,10
CSU Long Beach Police Department,2021,2,5,5
CSU Long Beach Police Department,2022,4,14,25
CSU Monterey Bay Police Department,2017,7,31,12
CSU Monterey Bay Police Department,2018,15,20,8
CSU Monterey Bay Police Department,2019,11,32,9
CSU Monterey Bay Police Department,2020,12,35,13
CSU Monterey Bay Police Department,2021,3,8,14
CSU Monterey Bay Police Department,2022,8,17,10
CSU San Marcos Police Department,2017,9,47,5
CSU San Marcos Police Department,2018,3,38,5
CSU San Marcos Police Department,2019,3,61,2
CSU San Marcos Police Department,2020,2,40,5
CSU San Marcos Police Department,2021,1,8,5
CSU San Marcos Police Department,2022,2,25,6
Cal Poly San Luis Obispo Police Department,2017,5,113,8
Cal Poly San Luis Obispo Police Department,2018,10,107,4
Cal Poly San Luis Obispo Police Department,2019,8,84,7
Cal Poly San Luis Obispo Police Department,2020,3,42,7
Cal Poly San Luis Obispo Police Department,2021,1,19,2
Cal Poly San Luis Obispo Police Department,2022,1,14,4
Calaveras County Sheriff's Department,2017,363,197,111
Calaveras County Sheriff's Department,2018,265,161,102
Calaveras County Sheriff's Department,2019,240,152,88
Calaveras County Sheriff's Department,2020,224,171,74
Calaveras County Sheriff's Department,2021,20,8,6
Calaveras County Sheriff's Department,2022,204,104,101
Carlsbad Police Department,2017,375,943,358
Carlsbad Police Department,2018,305,977,393
Carlsbad Police Department,2019,270,915,378
Carlsbad Police Department,2020,309,1096,278
Carlsbad Police Department,2021,115,2049,187
Carlsbad Police Department,2022,273,1683,379
Carmel Police Department,2017,11,95,20
Carmel Police Department,2018,20,114,9
Carmel Police Department,2019,26,113,24
Carmel Police Department,2020,19,84,29
Carmel Police Department,2021,12,56,30
Carmel Police Department,2022,9,73,30
Chino Police Department,2017,436,1259,527
Chino Police Department,2018,429,1073,637
Chino Police Department,2019,487,1173,804
Chino Police Department,2020,526,1138,633
Chino Police Department,2021,399,745,558
Chino Police Department,2022,434,910,828
Chula Vista Police Department,2017,964,1666,938
Chula Vista Police Department,2018,995,1894,739
Chula Vista Police Department,2019,951,1786,734
Chula Vista Police Department,2020,815,1212,638
Chula Vista Police Department,2021,338,967,318
Chula Vista Police Department,2022,812,969,531
Clayton Police Department,2017,13,43,21
Clayton Police Department,2018,24,63,34
Clayton Police Department,2019,4,57,33
Clayton Police Department,2020,11,20,13
Clayton Police Department,2021,1,9,0
Clayton Police Department,2022,5,5,6
Colton Police Department,2017,233,650,284
Colton Police Department,2018,207,801,277
Colton Police Department,2019,194,663,235
Colton Police Department,2020,181,538,228
Colton Police Department,2021,125,320,205
Colton Police Department,2022,137,274,146
Concord Police Department,2017,552,1317,617
Concord Police Department,2018,517,1138,516
Concord Police Department,2019,521,1113,571
Concord Police Department,2020,399,649,366
Concord Police Department,2021,341,594,374
Concord Police Department,2022,460,790,386
Corcoran Police Department,2017,107,253,62
Corcoran Police Department,2018,113,231,80
Corcoran Police Department,2019,95,270,53
Corcoran Police Department,2020,99,169,80
Corcoran Police Department,2021,31,63,9
Corcoran Police Department,2022,82,110,69
Corning Police Department,2017,34,197,66
Corning Police Department,2018,45,301,41
Corning Police Department,2019,63,379,81
Corning Police Department,2020,40,230,31
Corning Police Department,2021,7,69,21
Corning Police Department,2022,30,126,59
Coronado Police Department,2017,43,157,71
Coronado Police Department,2018,45,176,56
Coronado Police Department,2019,49,207,56
Coronado Police Department,2020,39,164,63
Coronado Police Department,2021,19,73,23
Coronado Police Department,2022,43,237,98
Covina Police Department,2017,247,1072,454
Covina Police Department,2018,263,1378,418
Covina Police Department,2019,289,1286,457
Covina Police Department,2020,205,1086,380
Covina Police Department,2021,103,523,193
Covina Police Department,2022,218,1052,348
Culver City Police Department,2017,171,439,879
Culver City Police Department,2018,174,588,736
Culver City Police Department,2019,183,720,915
Culver City Police Department,2020,141,343,545
Culver City Police Department,2021,120,187,314
Culver City Police Department,2022,159,353,563
