AGENCY_NAME,data_year,Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc.","Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)"
Alameda County Sheriff's Department,2017,380,1428,6,50,0,12,331,1816,124,1,18,5,0,0,0,134,43,0,18,3,0,71,10,83,340,128,0,3,38,125,24
Alameda County Sheriff's Department,2018,442,1394,7,71,0,7,293,1700,132,0,12,4,0,0,0,159,46,0,15,3,1,16,9,76,345,106,0,5,59,125,32
Alameda County Sheriff's Department,2019,353,1163,2,40,0,14,268,1641,154,4,4,17,1,0,0,149,44,1,19,4,0,16,7,71,384,70,0,0,55,146,20
Alameda County Sheriff's Department,2020,387,826,9,73,0,19,139,1299,81,7,6,8,0,0,0,101,0,0,27,4,0,10,10,49,387,142,0,5,52,137,27
Alameda County Sheriff's Department,2022,345,800,5,27,0,78,144,745,32,4,7,13,0,0,0,56,14,0,61,3,1,0,7,45,323,119,0,4,53,236,13
Alameda E. Bay Reg. Park Dist.,2017,13,56,1,3,0,1,7,38,22,0,0,1,0,0,0,3,1,0,0,0,0,0,0,1,5,10,0,0,2,6,7
Alameda E. Bay Reg. Park Dist.,2018,22,87,0,8,0,2,14,78,23,0,3,1,0,0,0,2,3,0,11,1,0,0,1,2,19,4,0,2,2,12,8
Alameda E. Bay Reg. Park Dist.,2019,16,78,2,7,0,1,10,56,6,0,0,3,0,0,0,3,0,0,3,0,0,0,0,2,17,10,0,0,0,4,5
Alameda E. Bay Reg. Park Dist.,2020,8,54,1,6,0,1,6,33,3,1,1,0,0,0,0,5,0,0,4,0,0,0,0,1,8,7,0,0,5,7,4
Alameda E. Bay Reg. Park Dist.,2022,3,43,0,2,0,5,6,23,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,0,1,10,0
Alameda Police Department,2017,97,273,4,29,0,2,114,110,201,2,5,8,0,0,0,71,1,0,31,0,0,27,8,49,118,8,0,2,6,18,13
Alameda Police Department,2018,109,250,0,45,0,5,87,200,130,0,4,4,0,0,0,76,2,0,16,2,0,20,3,23,131,1,0,1,14,28,12
Alameda Police Department,2019,90,293,3,32,0,4,121,317,2,5,4,6,0,0,0,81,1,0,20,0,0,0,1,18,197,6,0,0,17,31,12
