,county_name,data_year,Crimes Against Persons,Crimes Against Society,Crimes Against Property,POVERTY_RATE,POPULATION
0,ALAMEDA,2017,7284,12156,8169,12.0,"1,487,888"
1,ALAMEDA,2018,7242,11225,7670,12.0,"1,487,888"
2,ALAMEDA,2019,7188,10867,7321,12.0,"1,487,888"
3,ALAMEDA,2020,6301,6507,6477,12.0,"1,487,888"
4,ALAMEDA,2021,105,183,278,12.0,"1,487,888"
5,ALAMEDA,2022,5636,5408,6147,12.0,"1,487,888"
6,ALPINE,2017,6,10,2,13.7,"1,160"
7,ALPINE,2018,8,10,7,13.7,"1,160"
8,ALPINE,2019,20,10,9,13.7,"1,160"
9,ALPINE,2020,16,2,3,13.7,"1,160"
10,ALPINE,2022,12,8,3,13.7,"1,160"
11,AMADOR,2017,124,296,105,10.5,"33,228"
12,AMADOR,2018,125,335,86,10.5,"33,228"
13,AMADOR,2019,139,355,96,10.5,"33,228"
14,AMADOR,2020,113,289,59,10.5,"33,228"
15,AMADOR,2022,120,182,67,10.5,"33,228"
16,BUTTE,2017,1449,3914,1668,20.6,"214,624"
17,BUTTE,2018,1684,4292,1482,20.6,"214,624"
18,BUTTE,2019,1486,4190,1369,20.6,"214,624"
19,BUTTE,2020,1426,3235,1095,20.6,"214,624"
20,BUTTE,2021,32,93,39,20.6,"214,624"
21,BUTTE,2022,1148,2305,804,20.6,"214,624"
22,CALAVERAS,2017,410,341,143,10.4,"44,740"
23,CALAVERAS,2018,306,254,137,10.4,"44,740"
24,CALAVERAS,2019,265,209,111,10.4,"44,740"
25,CALAVERAS,2020,247,214,91,10.4,"44,740"
26,CALAVERAS,2021,20,8,6,10.4,"44,740"
27,CALAVERAS,2022,232,143,117,10.4,"44,740"
28,COLUSA,2017,117,326,81,15.2,"21,041"
29,COLUSA,2018,148,337,84,15.2,"21,041"
30,COLUSA,2019,140,280,57,15.2,"21,041"
31,COLUSA,2020,111,289,89,15.2,"21,041"
32,COLUSA,2021,4,21,4,15.2,"21,041"
33,COLUSA,2022,96,241,98,15.2,"21,041"
34,CONTRA COSTA,2017,4269,7161,6019,10.2,"1,042,528"
35,CONTRA COSTA,2018,4397,7005,5492,10.2,"1,042,528"
36,CONTRA COSTA,2019,4406,6600,5466,10.2,"1,042,528"
37,CONTRA COSTA,2020,3370,4001,4112,10.2,"1,042,528"
38,CONTRA COSTA,2021,835,938,908,10.2,"1,042,528"
39,CONTRA COSTA,2022,2785,3188,3555,10.2,"1,042,528"
40,DEL NORTE,2017,335,566,212,21.5,"24,974"
41,DEL NORTE,2018,295,694,225,21.5,"24,974"
42,DEL NORTE,2019,261,548,247,21.5,"24,974"
43,DEL NORTE,2020,233,319,123,21.5,"24,974"
