,county_name,data_year,Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc.","Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)",agency_count,agency_count
0,ALAMEDA,2017,196,666,6,105,0,5,302,514,301,6,19,30,0,0,0,476,3,0,72,4,0,27,10,109,283,48,0,5,37,64,24,4,4
1,ALAMEDA,2018,196,568,3,103,0,15,308,606,214,8,20,24,0,0,0,433,4,0,71,6,0,20,5,84,327,29,0,15,51,63,22,4,4
2,ALAMEDA,2019,190,622,8,83,0,12,337,649,59,11,9,19,0,0,0,378,1,0,42,1,0,1,9,55,379,49,0,4,50,77,21,4,4
3,ALAMEDA,2020,173,390,6,68,0,4,193,402,26,2,9,9,0,0,0,221,1,0,51,1,0,1,1,38,259,45,0,7,55,74,24,4,4
4,ALAMEDA,2021,21,136,1,12,0,33,100,48,0,1,5,15,0,1,0,132,0,0,19,0,0,0,2,14,78,32,0,2,18,29,3,4,4
5,ALAMEDA,2022,107,389,13,54,0,116,234,164,0,2,7,27,0,0,0,289,0,0,45,3,1,1,6,48,344,96,0,11,72,77,9,4,4
6,BUTTE,2017,75,724,6,29,1,5,53,303,124,0,5,15,0,0,0,306,3,1,21,0,0,1,3,13,137,11,0,7,36,33,20,1,1
7,BUTTE,2018,80,695,2,15,0,15,51,319,263,1,1,5,0,0,0,266,13,0,23,2,0,0,0,12,150,9,0,4,39,25,19,1,1
8,BUTTE,2019,71,573,13,20,0,10,55,296,156,1,6,14,0,0,0,96,17,0,29,2,0,0,2,12,120,15,0,15,34,35,16,1,1
9,BUTTE,2020,53,448,9,10,0,5,52,304,125,1,3,3,0,0,0,58,9,1,14,1,1,0,4,11,113,12,0,8,43,29,19,1,1
10,BUTTE,2021,10,145,0,6,0,54,33,6,0,0,2,4,0,0,0,11,0,0,3,0,0,0,1,1,21,3,0,0,7,2,0,1,1
11,BUTTE,2022,61,308,8,10,0,276,40,23,0,0,4,8,0,0,0,45,1,1,6,1,1,0,2,7,85,7,0,2,39,18,0,1,1
12,CALAVERAS,2017,150,368,3,10,0,7,5,169,0,1,5,1,4,0,0,14,9,0,8,1,3,0,4,11,190,9,0,0,21,28,18,1,1
13,CALAVERAS,2018,112,331,0,28,0,7,4,142,0,0,2,3,0,0,0,9,7,0,4,1,1,0,1,11,142,3,0,0,20,22,9,1,1
14,CALAVERAS,2019,114,331,1,16,0,4,0,146,0,0,1,7,0,0,0,7,0,0,4,0,1,0,4,5,110,9,0,1,21,17,12,1,1
15,CALAVERAS,2020,114,283,0,20,4,9,4,147,0,0,4,2,0,0,0,8,5,0,2,1,2,0,2,1,97,8,0,0,15,14,10,1,1
16,CALAVERAS,2021,4,11,0,0,0,1,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,2,2,0,1,1
17,CALAVERAS,2022,73,236,0,8,0,23,2,77,0,0,1,13,0,0,0,9,2,0,2,0,0,0,5,3,121,6,0,0,14,45,5,1,1
18,COLUSA,2017,16,15,0,3,0,2,9,27,9,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,10,0,0,0,2,1,0,1,1
19,COLUSA,2018,24,17,1,4,0,0,15,26,8,0,0,2,0,0,0,1,4,0,2,0,0,0,0,0,13,1,0,0,3,0,1,1,1
20,COLUSA,2019,15,26,0,1,0,0,20,27,4,0,2,1,0,0,0,1,0,0,0,0,0,0,1,1,15,0,0,0,0,2,2,1,1
21,COLUSA,2020,12,20,1,2,0,0,23,20,6,0,0,0,0,0,0,2,0,0,1,0,0,0,0,2,10,3,0,0,2,1,1,1,1
22,COLUSA,2021,2,22,0,0,0,5,11,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,1,1
23,COLUSA,2022,3,70,1,2,0,13,29,7,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,13,9,0,0,5,5,0,1,1
24,CONTRA COSTA,2017,850,1866,18,462,0,48,601,1507,362,23,34,92,1,0,0,389,11,0,393,24,5,85,25,224,967,332,0,18,129,322,100,6,6
25,CONTRA COSTA,2018,830,2059,24,429,0,39,687,1350,366,20,21,50,0,0,0,330,7,0,247,22,1,71,30,244,1013,256,0,8,143,379,78,6,6
26,CONTRA COSTA,2019,816,2059,21,328,0,27,722,1226,293,23,14,41,0,0,0,333,3,1,261,32,3,37,21,257,985,292,0,10,143,350,96,6,6
27,CONTRA COSTA,2020,777,1049,26,240,0,16,571,822,116,20,13,23,0,0,0,215,1,2,220,40,0,9,19,172,684,289,0,14,132,354,59,6,6
28,CONTRA COSTA,2021,425,1467,23,94,0,20,425,478,0,5,8,22,2,0,0,128,1,0,128,8,0,5,4,84,391,75,0,7,106,235,7,6,6
29,CONTRA COSTA,2022,575,1818,32,99,0,62,506,589,0,11,6,43,0,0,0,161,0,2,84,13,3,2,15,100,593,160,0,7,150,284,15,6,6
30,EL DORADO,2017,339,925,2,117,0,5,141,1071,128,1,27,36,0,0,0,123,27,0,30,6,0,14,7,21,405,49,0,14,73,93,37,2,2
31,EL DORADO,2018,304,994,3,82,0,24,142,825,132,5,17,38,0,0,0,119,41,0,32,4,0,5,3,18,406,35,0,14,57,80,29,2,2
32,EL DORADO,2019,332,901,2,90,0,14,147,751,116,2,13,32,0,0,0,107,14,1,30,8,1,1,6,20,303,35,0,5,52,60,20,2,2
33,EL DORADO,2020,359,825,4,86,0,6,170,892,120,2,15,22,0,0,0,79,12,1,35,3,2,0,6,27,320,38,0,5,55,83,31,2,2
34,EL DORADO,2021,111,506,5,30,0,122,95,392,0,1,11,29,0,0,0,42,5,0,16,0,0,0,4,6,284,17,0,1,44,65,3,2,2
35,EL DORADO,2022,103,904,3,24,0,243,114,430,0,2,11,43,0,0,0,80,10,0,4,1,0,0,9,20,463,34,0,3,52,86,8,2,2
36,FRESNO,2017,1799,7569,57,555,0,281,1322,1707,735,18,29,61,2,0,0,666,38,4,135,34,8,85,47,400,1754,430,0,64,388,704,178,1,1
37,FRESNO,2018,2045,9334,42,536,0,291,2123,2144,725,15,48,78,0,0,0,651,39,4,116,24,4,94,44,427,1835,372,0,18,401,924,193,1,1
38,FRESNO,2019,1544,6401,25,390,0,231,1506,1299,473,6,23,45,1,0,0,477,15,8,66,32,2,76,32,268,1314,257,0,13,286,553,136,1,1
39,FRESNO,2020,1883,3902,46,449,0,80,1602,809,308,9,12,22,1,0,0,633,9,4,135,16,4,89,44,310,1404,285,0,17,391,664,164,1,1
40,FRESNO,2021,940,4905,32,179,0,266,1036,240,0,4,6,46,1,0,0,481,0,0,208,31,45,92,26,246,1361,97,0,5,350,672,18,1,1
41,FRESNO,2022,965,4522,62,246,0,339,1144,226,0,8,4,67,0,2,1,720,7,0,200,33,16,123,32,283,1747,117,0,33,406,602,35,1,1
42,GLENN,2017,55,299,2,9,3,1,14,99,30,0,4,6,0,0,0,20,1,0,5,2,0,0,2,2,45,4,0,0,14,15,3,1,1
43,GLENN,2018,64,410,2,7,0,5,41,217,76,0,4,6,0,0,0,48,1,0,8,4,1,0,1,5,65,2,0,0,21,21,8,1,1
44,GLENN,2019,76,402,0,13,0,4,40,238,68,1,2,12,0,0,0,26,0,2,4,0,1,0,1,5,75,7,0,0,6,24,15,1,1
45,GLENN,2020,48,303,0,12,0,4,29,148,43,0,0,5,0,0,0,19,0,0,5,0,2,0,3,3,43,5,0,0,10,14,14,1,1
46,GLENN,2021,18,192,2,1,0,40,17,38,0,0,0,1,0,0,0,9,0,0,1,0,0,0,1,0,6,2,0,0,4,9,1,1,1
47,GLENN,2022,24,78,1,2,0,15,8,43,0,0,1,2,0,0,0,5,0,0,1,0,0,0,0,1,5,0,0,0,3,4,1,1,1
48,HUMBOLDT,2017,67,352,0,26,1,3,86,237,84,0,5,8,0,0,0,26,10,0,9,0,0,0,0,4,69,9,0,2,19,25,2,3,3
49,HUMBOLDT,2018,48,406,0,28,1,1,83,196,112,0,0,1,0,0,0,9,14,0,5,0,0,0,2,3,68,12,0,1,15,13,5,3,3
50,HUMBOLDT,2019,48,305,1,28,0,6,106,148,79,0,1,9,0,0,0,20,7,0,1,0,0,0,0,4,60,9,0,1,16,15,2,3,3
51,HUMBOLDT,2020,67,206,3,30,0,6,88,207,80,0,0,1,0,0,0,15,2,0,5,1,0,0,1,3,73,19,0,2,16,12,3,3,3
52,HUMBOLDT,2021,2,53,1,0,0,37,18,7,0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,14,0,0,0,1,2,1,3,3
53,HUMBOLDT,2022,16,235,2,5,0,191,61,62,0,1,1,7,0,0,0,39,11,0,6,0,0,0,3,0,77,12,0,1,15,19,1,3,3
54,KERN,2017,232,1142,0,127,45,11,135,592,131,0,14,11,0,0,0,44,15,1,29,1,0,3,6,24,283,54,0,4,53,92,18,2,2
55,KERN,2018,234,1255,5,119,17,40,123,564,138,1,9,15,1,0,0,34,15,0,53,8,1,3,2,24,302,30,0,3,38,89,17,2,2
56,KERN,2019,197,1583,4,93,0,36,142,568,125,3,6,9,5,0,0,29,1,1,29,6,2,0,3,15,269,21,0,1,50,69,21,2,2
57,KERN,2020,209,1660,11,78,0,16,136,567,48,2,5,8,0,0,0,31,8,0,27,3,1,0,3,16,208,15,0,6,33,49,31,2,2
58,KERN,2021,6,125,0,0,0,4,10,14,0,0,0,1,0,0,0,3,0,0,1,0,0,0,2,1,19,2,0,0,0,7,0,2,2
59,KERN,2022,73,1005,3,39,0,74,131,191,0,1,10,26,0,0,0,54,8,0,18,3,0,0,3,16,208,31,0,0,45,70,2,2,2
60,KINGS,2017,388,1959,6,139,19,26,309,1439,343,2,20,31,4,0,0,98,10,1,68,15,1,7,23,56,342,55,0,4,70,124,45,4,4
61,KINGS,2018,434,2582,5,158,24,33,376,1211,392,3,19,45,2,0,0,180,28,0,78,5,6,1,17,54,399,56,0,7,57,118,51,4,4
62,KINGS,2019,425,2567,6,185,26,25,409,1437,431,3,10,45,12,0,0,190,14,1,40,7,2,2,18,33,354,48,0,1,67,124,66,4,4
63,KINGS,2020,415,2086,4,112,4,12,324,1532,318,4,8,37,3,0,0,99,8,2,56,8,0,0,16,49,259,82,0,2,73,131,47,4,4
64,KINGS,2021,55,1120,1,30,0,184,208,173,0,1,4,17,0,0,0,21,14,0,16,2,0,1,10,10,148,26,0,0,20,44,2,4,4
65,KINGS,2022,212,2046,5,49,0,501,405,707,0,4,10,61,1,0,0,91,25,2,43,8,3,17,18,36,402,62,0,0,82,168,22,4,4
66,LAKE,2017,182,570,2,40,0,6,77,733,161,1,11,11,0,0,0,32,1,0,12,3,0,0,5,7,139,21,0,2,24,67,20,2,2
67,LAKE,2018,179,625,4,45,0,14,108,563,134,1,7,8,0,0,0,36,2,0,9,2,0,0,3,10,154,17,0,3,26,50,18,2,2
68,LAKE,2019,170,457,2,27,0,5,43,466,128,0,7,2,0,0,0,33,6,0,10,4,0,0,1,5,124,14,0,5,29,39,12,2,2
69,LAKE,2020,166,299,4,32,0,9,23,293,87,0,1,4,0,0,0,4,6,0,6,1,1,0,1,5,83,12,0,2,13,25,9,2,2
70,LAKE,2021,14,29,0,6,0,48,11,49,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,20,0,0,2,2,6,0,2,2
