,county_name,data_year,Crimes Against Persons,Crimes Against Society,Crimes Against Property,agency_count
0,ALAMEDA,2017,517,1157,972,4
1,ALAMEDA,2018,556,1182,889,4
2,ALAMEDA,2019,600,1063,781,4
3,ALAMEDA,2020,458,634,578,4
4,ALAMEDA,2021,105,183,278,4
5,ALAMEDA,2022,469,527,730,4
6,BUTTE,2017,236,497,475,1
7,BUTTE,2018,251,665,398,1
8,BUTTE,2019,211,549,275,1
9,BUTTE,2020,191,504,193,1
10,BUTTE,2021,32,93,39,1
11,BUTTE,2022,150,343,152,1
12,CALAVERAS,2017,363,197,111,1
13,CALAVERAS,2018,265,161,102,1
14,CALAVERAS,2019,240,152,88,1
15,CALAVERAS,2020,224,171,74,1
16,CALAVERAS,2021,20,8,6,1
17,CALAVERAS,2022,204,104,101,1
18,COLUSA,2017,26,47,12,1
19,COLUSA,2018,38,53,14,1
20,COLUSA,2019,33,51,8,1
21,COLUSA,2020,23,49,14,1
22,COLUSA,2021,4,21,4,1
23,COLUSA,2022,17,49,25,1
24,CONTRA COSTA,2017,1966,2638,2418,6
25,CONTRA COSTA,2018,1973,2529,2143,6
26,CONTRA COSTA,2019,1951,2321,2063,6
27,CONTRA COSTA,2020,1581,1549,1704,6
28,CONTRA COSTA,2021,835,938,908,6
29,CONTRA COSTA,2022,1213,1169,1130,6
30,EL DORADO,2017,794,1400,572,2
31,EL DORADO,2018,746,1183,486,2
32,EL DORADO,2019,670,1049,443,2
33,EL DORADO,2020,720,1207,446,2
34,EL DORADO,2021,402,615,266,2
35,EL DORADO,2022,584,800,359,2
36,FRESNO,2017,3816,4242,3443,1
37,FRESNO,2018,4145,5438,3610,1
38,FRESNO,2019,3066,3616,2396,1
39,FRESNO,2020,3515,2919,2956,1
40,FRESNO,2021,2376,1685,2321,1
41,FRESNO,2022,2815,1888,2715,1
42,GLENN,2017,107,148,81,1
43,GLENN,2018,142,341,124,1
44,GLENN,2019,169,351,100,1
45,GLENN,2020,108,226,73,1
46,GLENN,2021,26,95,29,1
47,GLENN,2022,30,66,20,1
48,HUMBOLDT,2017,138,423,131,3
49,HUMBOLDT,2018,123,408,86,3
50,HUMBOLDT,2019,110,347,104,3
51,HUMBOLDT,2020,145,385,104,3
52,HUMBOLDT,2021,17,62,9,3
53,HUMBOLDT,2022,97,326,107,3
54,KERN,2017,541,936,448,2
55,KERN,2018,563,905,417,2
56,KERN,2019,497,880,328,2
57,KERN,2020,454,782,275,2
58,KERN,2021,27,28,15,2
59,KERN,2022,289,404,313,2
60,KINGS,2017,814,2162,669,4
61,KINGS,2018,906,2080,773,4
62,KINGS,2019,871,2359,751,4
63,KINGS,2020,747,2203,655,4
64,KINGS,2021,217,580,190,4
65,KINGS,2022,664,1659,611,4
66,LAKE,2017,349,980,228,2
67,LAKE,2018,356,824,213,2
