,county_name,data_year,Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc.","Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)",agency_count
0,ALAMEDA,2017,2625,8239,52,1082,0,156,1905,7556,1728,51,145,125,9,0,0,2130,86,4,1050,82,6,633,116,959,4000,629,0,77,922,1024,457,18
1,ALAMEDA,2018,2725,7733,71,1014,0,157,1855,7153,1428,67,109,118,3,0,0,2011,80,5,853,52,8,464,87,1054,4013,574,0,77,853,946,360,18
2,ALAMEDA,2019,2627,6919,41,1087,0,170,2031,6910,1192,80,92,129,12,0,0,1868,82,2,874,52,8,404,64,912,4165,565,0,58,765,908,278,18
3,ALAMEDA,2020,2524,4357,65,990,0,89,1253,4344,556,61,55,48,10,0,0,1205,7,2,1034,75,8,195,58,717,3408,690,0,45,673,939,234,18
4,ALAMEDA,2021,21,136,1,12,0,33,100,48,0,1,5,15,0,1,0,132,0,0,19,0,0,0,2,14,78,32,0,2,18,29,3,4
5,ALAMEDA,2022,2416,4195,69,632,0,319,1310,3107,409,24,59,117,3,0,0,1149,17,4,713,55,7,187,61,634,2918,715,0,49,844,1191,182,18
6,ALPINE,2017,3,15,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,1
7,ALPINE,2018,4,6,0,0,0,1,0,8,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,4,0,0,0,2,2,0,1
8,ALPINE,2019,7,24,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,3,0,0,0,2,0,10,1,0,0,0,4,1,1
9,ALPINE,2020,9,7,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,2,0,1
10,ALPINE,2022,2,5,0,0,0,3,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,1,1,0,1
11,AMADOR,2017,72,331,0,27,0,3,49,161,80,0,5,3,0,0,0,14,2,0,16,0,0,0,1,2,48,9,0,1,7,22,3,4
12,AMADOR,2018,63,325,2,16,0,2,61,180,88,0,6,3,0,0,0,15,4,0,8,0,0,0,2,3,57,8,0,0,2,23,3,4
13,AMADOR,2019,85,343,2,14,0,0,44,218,92,0,5,3,0,0,0,10,1,1,9,1,0,0,1,5,50,14,0,0,9,25,1,4
14,AMADOR,2020,78,282,3,12,0,0,36,198,53,0,2,1,0,0,0,5,2,1,6,1,0,0,2,3,30,3,0,0,8,16,1,4
15,AMADOR,2022,51,209,1,2,0,36,32,99,15,0,0,5,0,0,0,10,0,0,4,0,0,0,4,3,61,2,0,0,14,26,4,4
16,BUTTE,2017,579,3034,14,204,1,26,490,2090,1029,4,46,66,0,0,0,616,149,1,129,5,9,4,13,49,789,121,0,116,165,254,62,6
17,BUTTE,2018,687,3160,12,162,0,65,449,2245,1289,10,29,42,0,0,0,481,196,0,91,5,1,1,8,52,915,123,0,46,173,307,69,6
18,BUTTE,2019,594,2527,22,174,0,55,425,2331,1031,5,23,41,0,0,0,355,300,1,91,4,0,1,14,61,793,133,0,47,145,319,80,6
19,BUTTE,2020,643,1843,29,134,0,35,434,1996,667,2,23,34,0,0,0,221,57,1,60,12,2,2,12,56,683,93,0,42,150,293,75,6
20,BUTTE,2021,10,145,0,6,0,54,33,6,0,0,2,4,0,0,0,11,0,0,3,0,0,0,1,1,21,3,0,0,7,2,0,1
21,BUTTE,2022,501,2115,17,99,1,403,449,997,385,4,15,59,0,0,0,148,45,2,35,4,3,0,7,39,609,64,0,22,119,205,25,6
22,CALAVERAS,2017,171,392,3,18,0,9,62,227,27,1,5,3,4,0,0,21,9,0,8,1,3,0,4,12,214,11,0,0,28,33,20,2
23,CALAVERAS,2018,128,348,0,34,0,8,22,191,21,0,2,6,3,0,0,13,7,0,7,1,1,0,1,12,166,4,0,1,29,30,10,2
24,CALAVERAS,2019,123,335,1,21,0,4,16,176,11,0,2,8,0,0,0,11,0,0,6,0,1,0,4,5,123,9,0,1,22,26,15,2
25,CALAVERAS,2020,123,292,0,25,4,11,14,170,8,0,4,3,0,0,0,10,5,0,3,1,2,0,2,3,109,10,0,0,18,15,12,2
26,CALAVERAS,2021,4,11,0,0,0,1,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,2,2,0,1
27,CALAVERAS,2022,84,258,0,12,0,23,12,87,19,0,1,13,0,0,0,9,2,0,5,0,0,0,5,4,138,10,0,0,16,47,5,2
28,COLUSA,2017,59,374,1,8,0,4,60,225,34,1,2,8,0,0,0,14,0,0,7,1,0,0,3,5,48,5,0,3,16,14,6,3
29,COLUSA,2018,60,390,1,14,0,1,73,209,49,0,5,9,0,0,0,12,4,0,4,2,0,1,2,1,78,15,0,0,12,11,6,3
30,COLUSA,2019,53,434,1,7,0,5,48,188,39,0,4,4,0,0,0,8,0,0,5,0,0,0,1,2,82,10,0,0,13,3,4,3
31,COLUSA,2020,47,277,1,10,0,7,54,202,23,0,3,9,0,0,0,19,2,0,10,0,1,0,0,2,58,8,0,0,14,13,6,3
32,COLUSA,2021,2,22,0,0,0,5,11,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,1
33,COLUSA,2022,34,352,2,9,0,15,65,133,24,0,4,10,0,0,0,16,3,0,2,0,0,0,1,1,58,15,0,1,18,21,3,3
34,CONTRA COSTA,2017,1793,4549,39,1019,0,78,1529,4295,1095,50,143,202,1,0,0,1259,42,0,926,66,11,88,64,487,2146,810,0,22,295,789,200,16
35,CONTRA COSTA,2018,1774,5080,49,1022,0,59,1507,4193,1121,45,110,148,2,0,0,1026,20,4,788,65,7,78,75,516,2257,640,0,18,330,818,222,16
36,CONTRA COSTA,2019,1809,5031,71,933,0,57,1580,3818,1031,71,84,114,2,0,0,1032,18,6,774,102,10,49,56,538,2210,770,0,35,326,753,223,16
37,CONTRA COSTA,2020,1606,2711,56,697,0,25,1080,2337,499,39,53,58,0,0,0,600,7,10,593,92,2,28,44,367,1467,690,0,23,293,666,151,16
38,CONTRA COSTA,2021,425,1467,23,94,0,20,425,478,0,5,8,22,2,0,0,128,1,0,128,8,0,5,4,84,391,75,0,7,106,235,7,6
39,CONTRA COSTA,2022,1228,3597,66,420,0,222,1021,1716,188,26,28,96,0,2,0,626,1,6,320,43,4,15,55,276,1402,569,0,21,335,793,49,16
40,DEL NORTE,2017,172,235,3,68,0,7,34,234,283,0,1,11,0,0,0,37,5,0,10,5,2,1,3,14,144,23,0,0,11,34,11,2
41,DEL NORTE,2018,125,230,0,73,0,11,54,341,277,0,1,5,0,0,0,53,0,0,6,2,3,0,2,8,157,14,0,8,31,34,9,2
42,DEL NORTE,2019,110,256,3,63,0,7,22,230,283,0,1,10,0,0,0,75,0,0,4,1,1,0,1,8,136,21,0,5,24,38,13,2
43,DEL NORTE,2020,106,187,5,26,0,5,30,161,104,0,2,3,0,0,0,33,3,0,4,2,4,0,3,12,112,5,0,12,16,17,10,2
44,DEL NORTE,2022,102,257,14,56,0,75,14,140,85,0,1,6,0,0,0,120,1,0,3,2,0,0,3,9,132,22,0,5,26,25,7,2
45,EL DORADO,2017,452,1081,5,147,0,10,270,1198,280,2,30,42,0,0,0,151,38,1,36,8,0,14,8,26,496,67,0,16,90,106,44,3
46,EL DORADO,2018,416,1116,4,115,0,26,282,910,318,6,18,44,0,0,0,142,49,0,44,7,0,5,9,33,481,41,0,21,71,107,34,3
47,EL DORADO,2019,459,1041,2,114,0,19,261,840,284,6,14,37,0,0,0,134,21,1,36,9,1,1,9,32,413,46,0,7,71,81,32,3
48,EL DORADO,2020,479,957,4,122,0,16,314,956,274,3,15,24,0,0,0,96,17,1,50,4,3,0,8,44,438,48,0,7,76,101,34,3
