,data_year,county_name,Total Violent Crime
0,2017,ALAMEDA,757.0
1,2018,ALAMEDA,831.0
2,2019,ALAMEDA,769.0
3,2020,ALAMEDA,815.0
4,2022,ALAMEDA,691.0
5,2017,ALAMEDA,236.0
6,2018,ALAMEDA,257.0
7,2019,ALAMEDA,300.0
8,2020,ALAMEDA,266.0
9,2021,ALAMEDA,26.0
10,2022,ALAMEDA,238.0
11,2017,ALAMEDA,27.0
12,2018,ALAMEDA,51.0
13,2019,ALAMEDA,50.0
14,2020,ALAMEDA,17.0
15,2021,ALAMEDA,11.0
16,2022,ALAMEDA,29.0
17,2017,ALAMEDA,600.0
18,2018,ALAMEDA,393.0
19,2019,ALAMEDA,441.0
20,2020,ALAMEDA,406.0
21,2022,ALAMEDA,435.0
22,2017,ALAMEDA,110.0
23,2018,ALAMEDA,110.0
24,2019,ALAMEDA,120.0
25,2020,ALAMEDA,79.0
26,2021,ALAMEDA,46.0
27,2022,ALAMEDA,80.0
28,2017,ALAMEDA,399.0
29,2018,ALAMEDA,428.0
30,2019,ALAMEDA,376.0
31,2020,ALAMEDA,240.0
32,2022,ALAMEDA,219.0
33,2017,ALAMEDA,564.0
34,2018,ALAMEDA,574.0
35,2019,ALAMEDA,593.0
36,2020,ALAMEDA,490.0
37,2022,ALAMEDA,414.0
38,2017,ALAMEDA,271.0
39,2018,ALAMEDA,309.0
40,2019,ALAMEDA,371.0
41,2020,ALAMEDA,225.0
42,2022,ALAMEDA,230.0
43,2017,ALAMEDA,144.0
44,2018,ALAMEDA,138.0
45,2019,ALAMEDA,130.0
46,2020,ALAMEDA,96.0
47,2021,ALAMEDA,21.0
48,2022,ALAMEDA,122.0
49,2017,ALAMEDA,3081.0
50,2018,ALAMEDA,2966.0
51,2019,ALAMEDA,2939.0
52,2020,ALAMEDA,2836.0
53,2022,ALAMEDA,2322.0
54,2017,ALAMEDA,8.0
55,2018,ALAMEDA,13.0
56,2019,ALAMEDA,6.0
57,2020,ALAMEDA,2.0
58,2022,ALAMEDA,9.0
59,2017,ALAMEDA,125.0
60,2018,ALAMEDA,127.0
61,2019,ALAMEDA,141.0
62,2020,ALAMEDA,151.0
63,2022,ALAMEDA,143.0
64,2017,ALAMEDA,387.0
65,2018,ALAMEDA,393.0
66,2019,ALAMEDA,346.0
67,2020,ALAMEDA,272.0
68,2022,ALAMEDA,274.0
69,2017,ALAMEDA,257.0
70,2018,ALAMEDA,277.0
71,2019,ALAMEDA,224.0
72,2020,ALAMEDA,161.0
73,2022,ALAMEDA,91.0
74,2017,ALAMEDA,25.0
75,2018,ALAMEDA,51.0
76,2019,ALAMEDA,38.0
77,2020,ALAMEDA,20.0
78,2022,ALAMEDA,14.0
79,2017,ALAMEDA,2.0
80,2018,ALAMEDA,4.0
81,2019,ALAMEDA,2.0
82,2020,ALAMEDA,1.0
83,2022,ALAMEDA,2.0
84,2017,ALAMEDA,0.0
85,2018,ALAMEDA,0.0
86,2020,ALAMEDA,0.0
87,2022,ALAMEDA,0.0
88,2017,ALAMEDA,210.0
89,2018,ALAMEDA,250.0
90,2019,ALAMEDA,282.0
91,2020,ALAMEDA,210.0
92,2022,ALAMEDA,283.0
93,2017,ALAMEDA,132.0
94,2018,ALAMEDA,164.0
95,2019,ALAMEDA,166.0
96,2020,ALAMEDA,168.0
97,2022,ALAMEDA,85.0
98,2020,ALAMEDA,1.0
99,2021,ALAMEDA,2.0
100,2022,ALAMEDA,2.0
101,2017,ALAMEDA,81.0
102,2018,ALAMEDA,70.0
103,2019,ALAMEDA,60.0
104,2020,ALAMEDA,14.0
105,2022,ALAMEDA,40.0
106,2021,ALAMEDA,0.0
107,2022,ALAMEDA,1.0
108,2021,ALAMEDA,0.0
109,2022,ALAMEDA,0.0
110,2021,ALAMEDA,0.0
111,2022,ALAMEDA,0.0
112,2021,ALAMEDA,1.0
113,2022,ALAMEDA,3.0
114,2017,ALPINE,6.0
115,2018,ALPINE,8.0
116,2019,ALPINE,20.0
117,2020,ALPINE,16.0
118,2022,ALPINE,12.0
119,2017,AMADOR,80.0
120,2018,AMADOR,85.0
121,2019,AMADOR,85.0
122,2020,AMADOR,64.0
123,2022,AMADOR,73.0
124,2017,AMADOR,16.0
125,2018,AMADOR,19.0
126,2019,AMADOR,21.0
127,2020,AMADOR,12.0
128,2022,AMADOR,9.0
129,2017,AMADOR,15.0
130,2018,AMADOR,16.0
131,2019,AMADOR,25.0
132,2020,AMADOR,27.0
133,2022,AMADOR,28.0
134,2017,AMADOR,13.0
135,2018,AMADOR,5.0
136,2019,AMADOR,8.0
137,2020,AMADOR,10.0
138,2022,AMADOR,10.0
139,2021,AMADOR,0.0
140,2022,AMADOR,0.0
141,2017,BUTTE,436.0
142,2018,BUTTE,494.0
143,2019,BUTTE,488.0
144,2020,BUTTE,557.0
145,2022,BUTTE,355.0
146,2017,BUTTE,540.0
147,2018,BUTTE,712.0
148,2019,BUTTE,704.0
149,2020,BUTTE,559.0
150,2022,BUTTE,551.0
151,2017,BUTTE,52.0
152,2018,BUTTE,63.0
153,2019,BUTTE,45.0
154,2020,BUTTE,68.0
155,2022,BUTTE,49.0
156,2017,BUTTE,236.0
157,2018,BUTTE,251.0
158,2019,BUTTE,211.0
159,2020,BUTTE,191.0
160,2021,BUTTE,32.0
161,2022,BUTTE,150.0
162,2017,BUTTE,168.0
163,2018,BUTTE,153.0
164,2019,BUTTE,29.0
165,2020,BUTTE,39.0
166,2022,BUTTE,35.0
167,2017,BUTTE,1.0
168,2018,BUTTE,0.0
169,2017,BUTTE,5.0
170,2018,BUTTE,7.0
171,2019,BUTTE,7.0
172,2020,BUTTE,9.0
173,2021,BUTTE,2.0
174,2022,BUTTE,4.0
175,2017,BUTTE,17.0
176,2018,BUTTE,11.0
177,2019,BUTTE,9.0
178,2020,BUTTE,12.0
179,2022,BUTTE,8.0
180,2021,AMADOR,1.0
181,2022,AMADOR,0.0
182,2021,AMADOR,1.0
183,2022,AMADOR,2.0
184,2017,CALAVERAS,363.0
185,2018,CALAVERAS,265.0
186,2019,CALAVERAS,240.0
187,2020,CALAVERAS,224.0
188,2021,CALAVERAS,20.0
189,2022,CALAVERAS,204.0
190,2017,CALAVERAS,47.0
191,2018,CALAVERAS,41.0
192,2019,CALAVERAS,25.0
193,2020,CALAVERAS,23.0
194,2022,CALAVERAS,28.0
195,2018,CALAVERAS,0.0
196,2019,CALAVERAS,0.0
197,2020,CALAVERAS,1.0
198,2021,CALAVERAS,1.0
199,2022,CALAVERAS,2.0
200,2021,CALAVERAS,0.0
201,2022,CALAVERAS,0.0
202,2017,COLUSA,60.0
203,2018,COLUSA,69.0
204,2019,COLUSA,61.0
205,2020,COLUSA,58.0
206,2022,COLUSA,53.0
207,2017,COLUSA,31.0
208,2018,COLUSA,41.0
209,2019,COLUSA,46.0
210,2020,COLUSA,30.0
211,2022,COLUSA,26.0
212,2017,COLUSA,26.0
213,2018,COLUSA,38.0
214,2019,COLUSA,33.0
215,2020,COLUSA,23.0
216,2021,COLUSA,4.0
217,2022,COLUSA,17.0
218,2017,COLUSA,0.0
219,2021,COLUSA,0.0
220,2022,COLUSA,2.0
221,2017,CONTRA COSTA,1010.0
222,2018,CONTRA COSTA,1021.0
223,2019,CONTRA COSTA,996.0
224,2020,CONTRA COSTA,658.0
225,2022,CONTRA COSTA,676.0
226,2017,CONTRA COSTA,860.0
227,2018,CONTRA COSTA,791.0
228,2019,CONTRA COSTA,728.0
229,2020,CONTRA COSTA,548.0
230,2021,CONTRA COSTA,21.0
231,2022,CONTRA COSTA,345.0
232,2017,CONTRA COSTA,249.0
233,2018,CONTRA COSTA,261.0
234,2019,CONTRA COSTA,227.0
235,2020,CONTRA COSTA,157.0
236,2022,CONTRA COSTA,155.0
237,2017,CONTRA COSTA,13.0
238,2018,CONTRA COSTA,24.0
239,2019,CONTRA COSTA,4.0
240,2020,CONTRA COSTA,11.0
241,2021,CONTRA COSTA,1.0
242,2022,CONTRA COSTA,5.0
243,2017,CONTRA COSTA,552.0
244,2018,CONTRA COSTA,517.0
245,2019,CONTRA COSTA,521.0
246,2020,CONTRA COSTA,399.0
247,2021,CONTRA COSTA,341.0
248,2022,CONTRA COSTA,460.0
249,2017,CONTRA COSTA,110.0
250,2018,CONTRA COSTA,94.0
251,2019,CONTRA COSTA,71.0
252,2020,CONTRA COSTA,51.0
253,2021,CONTRA COSTA,27.0
254,2022,CONTRA COSTA,43.0
255,2017,CONTRA COSTA,47.0
256,2018,CONTRA COSTA,47.0
257,2019,CONTRA COSTA,45.0
258,2020,CONTRA COSTA,33.0
259,2022,CONTRA COSTA,40.0
260,2017,CONTRA COSTA,66.0
261,2018,CONTRA COSTA,65.0
262,2019,CONTRA COSTA,48.0
263,2020,CONTRA COSTA,36.0
264,2022,CONTRA COSTA,47.0
265,2017,CONTRA COSTA,395.0
266,2018,CONTRA COSTA,441.0
267,2019,CONTRA COSTA,526.0
268,2020,CONTRA COSTA,438.0
269,2022,CONTRA COSTA,251.0
270,2017,CONTRA COSTA,114.0
271,2018,CONTRA COSTA,95.0
272,2019,CONTRA COSTA,113.0
273,2020,CONTRA COSTA,82.0
274,2022,CONTRA COSTA,65.0
275,2017,CONTRA COSTA,422.0
276,2018,CONTRA COSTA,534.0
277,2019,CONTRA COSTA,620.0
278,2020,CONTRA COSTA,563.0
279,2021,CONTRA COSTA,437.0
280,2022,CONTRA COSTA,354.0
281,2017,CONTRA COSTA,219.0
282,2018,CONTRA COSTA,268.0
283,2019,CONTRA COSTA,276.0
284,2020,CONTRA COSTA,190.0
285,2022,CONTRA COSTA,185.0
286,2017,CONTRA COSTA,120.0
287,2018,CONTRA COSTA,127.0
288,2019,CONTRA COSTA,132.0
289,2020,CONTRA COSTA,104.0
290,2022,CONTRA COSTA,90.0
291,2017,CONTRA COSTA,1.0
292,2018,CONTRA COSTA,1.0
293,2019,CONTRA COSTA,2.0
294,2020,CONTRA COSTA,3.0
295,2021,CONTRA COSTA,0.0
296,2022,CONTRA COSTA,0.0
297,2017,CONTRA COSTA,77.0
298,2018,CONTRA COSTA,93.0
299,2019,CONTRA COSTA,86.0
300,2020,CONTRA COSTA,89.0
301,2022,CONTRA COSTA,56.0
302,2017,CONTRA COSTA,26.0
303,2018,CONTRA COSTA,37.0
304,2019,CONTRA COSTA,14.0
305,2020,CONTRA COSTA,8.0
306,2022,CONTRA COSTA,13.0
307,2017,CONTRA COSTA,9.0
308,2018,CONTRA COSTA,13.0
309,2019,CONTRA COSTA,7.0
310,2020,CONTRA COSTA,9.0
311,2021,CONTRA COSTA,8.0
312,2022,CONTRA COSTA,6.0
313,2017,CONTRA COSTA,75.0
314,2018,CONTRA COSTA,84.0
315,2019,CONTRA COSTA,91.0
316,2020,CONTRA COSTA,93.0
317,2022,CONTRA COSTA,101.0
318,2017,CONTRA COSTA,6.0
319,2018,CONTRA COSTA,6.0
320,2019,CONTRA COSTA,6.0
321,2020,CONTRA COSTA,2.0
322,2022,CONTRA COSTA,5.0
323,2017,CONTRA COSTA,56.0
324,2018,CONTRA COSTA,46.0
325,2019,CONTRA COSTA,39.0
326,2020,CONTRA COSTA,25.0
327,2022,CONTRA COSTA,16.0
328,2017,CONTRA COSTA,6.0
329,2018,CONTRA COSTA,9.0
330,2019,CONTRA COSTA,6.0
331,2020,CONTRA COSTA,2.0
332,2022,CONTRA COSTA,6.0
333,2017,CONTRA COSTA,2.0
334,2018,CONTRA COSTA,0.0
335,2019,CONTRA COSTA,0.0
336,2022,CONTRA COSTA,0.0
337,2017,CONTRA COSTA,97.0
338,2018,CONTRA COSTA,109.0
339,2019,CONTRA COSTA,99.0
340,2020,CONTRA COSTA,86.0
341,2022,CONTRA COSTA,69.0
342,2022,CONTRA COSTA,28.0
343,2021,CONTRA COSTA,3.0
344,2022,CONTRA COSTA,23.0
345,2017,DEL NORTE,207.0
346,2018,DEL NORTE,186.0
347,2019,DEL NORTE,161.0
348,2020,DEL NORTE,114.0
349,2022,DEL NORTE,134.0
350,2017,DEL NORTE,128.0
351,2018,DEL NORTE,109.0
352,2019,DEL NORTE,100.0
353,2020,DEL NORTE,119.0
354,2022,DEL NORTE,112.0
355,2021,DEL NORTE,0.0
356,2022,DEL NORTE,3.0
357,2017,EL DORADO,718.0
358,2018,EL DORADO,657.0
359,2019,EL DORADO,591.0
360,2020,EL DORADO,643.0
361,2021,EL DORADO,358.0
362,2022,EL DORADO,504.0
363,2017,EL DORADO,76.0
364,2018,EL DORADO,89.0
365,2019,EL DORADO,79.0
366,2020,EL DORADO,77.0
367,2021,EL DORADO,44.0
368,2022,EL DORADO,80.0
369,2017,EL DORADO,215.0
370,2018,EL DORADO,201.0
371,2019,EL DORADO,253.0
372,2020,EL DORADO,244.0
373,2022,EL DORADO,184.0
374,2021,EL DORADO,0.0
375,2022,EL DORADO,4.0
376,2021,EL DORADO,0.0
377,2022,EL DORADO,3.0
378,2017,FRESNO,1059.0
379,2018,FRESNO,1172.0
380,2019,FRESNO,1059.0
381,2020,FRESNO,1044.0
382,2022,FRESNO,434.0
383,2017,FRESNO,512.0
384,2018,FRESNO,580.0
385,2019,FRESNO,550.0
386,2020,FRESNO,491.0
387,2022,FRESNO,338.0
