,data_year,Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc.","Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)",ori_number
0,2017.0,380.0,1428.0,6.0,50.0,0.0,12.0,331.0,1816.0,124.0,1.0,18.0,5.0,0.0,0.0,0.0,134.0,43.0,0.0,18.0,3.0,0.0,71.0,10.0,83.0,340.0,128.0,0.0,3.0,38.0,125.0,24.0,CA0010000
1,2018.0,442.0,1394.0,7.0,71.0,0.0,7.0,293.0,1700.0,132.0,0.0,12.0,4.0,0.0,0.0,0.0,159.0,46.0,0.0,15.0,3.0,1.0,16.0,9.0,76.0,345.0,106.0,0.0,5.0,59.0,125.0,32.0,CA0010000
2,2019.0,353.0,1163.0,2.0,40.0,0.0,14.0,268.0,1641.0,154.0,4.0,4.0,17.0,1.0,0.0,0.0,149.0,44.0,1.0,19.0,4.0,0.0,16.0,7.0,71.0,384.0,70.0,0.0,0.0,55.0,146.0,20.0,CA0010000
3,2020.0,387.0,826.0,9.0,73.0,0.0,19.0,139.0,1299.0,81.0,7.0,6.0,8.0,0.0,0.0,0.0,101.0,0.0,0.0,27.0,4.0,0.0,10.0,10.0,49.0,387.0,142.0,0.0,5.0,52.0,137.0,27.0,CA0010000
4,2022.0,345.0,800.0,5.0,27.0,0.0,78.0,144.0,745.0,32.0,4.0,7.0,13.0,0.0,0.0,0.0,56.0,14.0,0.0,61.0,3.0,1.0,0.0,7.0,45.0,323.0,119.0,0.0,4.0,53.0,236.0,13.0,CA0010000
0,2017.0,97.0,273.0,4.0,29.0,0.0,2.0,114.0,110.0,201.0,2.0,5.0,8.0,0.0,0.0,0.0,71.0,1.0,0.0,31.0,0.0,0.0,27.0,8.0,49.0,118.0,8.0,0.0,2.0,6.0,18.0,13.0,CA0010100
1,2018.0,109.0,250.0,0.0,45.0,0.0,5.0,87.0,200.0,130.0,0.0,4.0,4.0,0.0,0.0,0.0,76.0,2.0,0.0,16.0,2.0,0.0,20.0,3.0,23.0,131.0,1.0,0.0,1.0,14.0,28.0,12.0,CA0010100
2,2019.0,90.0,293.0,3.0,32.0,0.0,4.0,121.0,317.0,2.0,5.0,4.0,6.0,0.0,0.0,0.0,81.0,1.0,0.0,20.0,0.0,0.0,0.0,1.0,18.0,197.0,6.0,0.0,0.0,17.0,31.0,12.0,CA0010100
3,2020.0,87.0,182.0,5.0,22.0,0.0,3.0,69.0,144.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,71.0,1.0,0.0,19.0,1.0,0.0,0.0,1.0,14.0,160.0,5.0,0.0,0.0,22.0,12.0,17.0,CA0010100
4,2021.0,2.0,28.0,0.0,1.0,0.0,16.0,32.0,7.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,14.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,5.0,19.0,3.0,0.0,0.0,1.0,3.0,3.0,CA0010100
