,agency_id,agency_name,agency_type_name,ori,county_name,state_abbr,latitude,longitude
0,937,Alameda County Sheriff's Office,County,CA0010000,ALAMEDA,CA,37.802,-122.26236
1,938,Alameda Police Department,City,CA0010100,ALAMEDA,CA,37.766888,-122.24273
2,939,Albany Police Department,City,CA0010200,ALAMEDA,CA,37.887703,-122.29825
3,940,Berkeley Police Department,City,CA0010300,ALAMEDA,CA,37.870537,-122.27298
4,941,Emeryville Police Department,City,CA0010400,ALAMEDA,CA,37.648134,-121.913291
5,942,Fremont Police Department,City,CA0010500,ALAMEDA,CA,37.553017,-121.97069
6,943,Hayward Police Department,City,CA0010600,ALAMEDA,CA,37.662106,-122.08672
7,944,Livermore Police Department,City,CA0010700,ALAMEDA,CA,37.674633,-121.756935
8,945,Newark Police Department,City,CA0010800,ALAMEDA,CA,37.536236,-122.02951
9,946,Oakland Police Department,City,CA0010900,ALAMEDA,CA,37.79965,-122.27459
10,947,Piedmont Police Department,City,CA0011000,ALAMEDA,CA,37.824814,-122.23214
11,948,Pleasanton Police Department,City,CA0011100,ALAMEDA,CA,37.648134,-121.913291
12,949,San Leandro Police Department,City,CA0011200,ALAMEDA,CA,37.648134,-121.913291
13,950,Union City Police Department,City,CA0011300,ALAMEDA,CA,37.58882,-122.02747
14,951,East Bay Regional Parks: Alameda County,Other,CA0011400,ALAMEDA,CA,37.71378,-122.10035
15,952,California State University: East Bay,University or College,CA0011500,ALAMEDA,CA,37.658787,-122.062225
16,953,Union Pacific Railroad: Alameda County,Other,CA0011600,ALAMEDA,CA,37.798763,-122.24971
17,954,San Francisco Bay Area Rapid Transit: Alameda County,Other,CA0012100,ALAMEDA,CA,37.79742,-122.26664
18,959,Dublin Police Department,City,CA001300X,ALAMEDA,CA,37.799427,-122.262505
19,31874,California State Parks:,Other State Agency,CA0014100,ALAMEDA,CA,,
20,962,University of California: Berkeley,University or College,CA0019700,ALAMEDA,CA,37.648134,-121.913291
21,33936,Highway Patrol:,State Police,CA0019916,ALAMEDA,CA,,
22,33946,Highway Patrol:,State Police,CA0019945,ALAMEDA,CA,,
23,33994,Highway Patrol:,State Police,CA0019947,ALAMEDA,CA,,
24,34004,Highway Patrol:,State Police,CA0019970,ALAMEDA,CA,,
25,33870,Highway Patrol:,State Police,CA0019975,ALAMEDA,CA,,
26,33912,Highway Patrol:,State Police,CA0019990,ALAMEDA,CA,,
27,33972,Highway Patrol:,State Police,CA0019991,ALAMEDA,CA,,
28,965,Alpine County Sheriff's Office,County,CA0020000,ALPINE,CA,38.61761,-119.798999
29,967,Amador County Sheriff's Office,County,CA0030000,AMADOR,CA,38.352863,-120.7679
30,969,Ione Police Department,City,CA0030200,AMADOR,CA,38.44355,-120.653856
31,970,Jackson Police Department,City,CA0030300,AMADOR,CA,38.347904,-120.77274
32,972,Sutter Creek Police Department,City,CA0030500,AMADOR,CA,38.391117,-120.80235
33,973,Union Pacific Railroad: Amador County,Other,CA0030600,AMADOR,CA,37.798763,-122.24971
34,33834,Highway Patrol:,State Police,CA0039995,AMADOR,CA,,
35,975,Butte County Sheriff's Office,County,CA0040000,BUTTE,CA,39.665959,-121.601919
36,977,Chico Police Department,City,CA0040200,BUTTE,CA,39.735462,-121.81528
37,978,Gridley Police Department,City,CA0040300,BUTTE,CA,39.365505,-121.69721
38,979,Oroville Police Department,City,CA0040400,BUTTE,CA,39.508167,-121.554825
39,980,Paradise Police Department,City,CA0040500,BUTTE,CA,39.75336,-121.62395
40,981,Union Pacific Railroad: Butte County,Other,CA0040600,BUTTE,CA,37.798763,-122.24971
41,982,Department of Parks and Recreation: Northern Buttes,Other State Agency,CA0040700,BUTTE,CA,39.510296,-121.50341
42,985,California State University: Chico,University or College,CA0049700,BUTTE,CA,39.665959,-121.601919
43,34010,Highway Patrol:,State Police,CA0049940,AMADOR,CA,,
