COUNTY_NAME,POVERTY_RATE,POPULATION
Alameda ,12.0,"1,487,888"
Alpine ,13.7,"1,160"
Amador ,10.5,"33,228"
Butte ,20.6,"214,624"
Calaveras ,10.4,"44,740"
Colusa ,15.2,"21,041"
Contra Costa ,10.2,"1,042,528"
Del Norte ,21.5,"24,974"
El Dorado ,8.1,"179,280"
Fresno ,24.8,"913,669"
Glenn ,19.5,"27,581"
Humboldt ,19.7,"130,315"
Imperial ,23.0,"163,074"
Inyo ,11.3,"17,938"
Kern ,22.5,"804,199"
Kings ,20.7,"134,003"
Lake ,23.7,"63,365"
Lassen ,15.4,"24,197"
Los Angeles ,17.1,"9,684,503"
Madera ,21.1,"141,598"
Marin ,7.5,"244,670"
Mariposa ,14.7,"18,047"
Mendocino ,19.4,"86,212"
Merced ,24.6,"252,170"
Modoc ,19.9,"9,171"
Mono ,9.5,"14,058"
Monterey ,16.1,"397,891"
Napa ,10.0,"133,196"
Nevada ,11.6,"97,719"
Orange ,11.7,"2,985,156"
Placer ,8.4,"347,344"
Plumas ,13.9,"19,627"
Riverside ,15.6,"2,157,713"
Sacramento ,16.5,"1,396,487"
San Benito ,12.7,"55,176"
San Bernardino ,17.6,"1,995,666"
San Diego ,13.9,"3,019,666"
San Francisco ,13.2,"795,816"
San Joaquin ,17.5,"672,265"
San Luis Obispo ,13.7,"254,132"
San Mateo ,7.4,"713,363"
Santa Barbara ,15.3,"406,340"
Santa Clara ,9.7,"1,761,326"
Santa Cruz ,14.4,"253,753"
Shasta ,17.6,"174,707"
Sierra ,16.8,"3,132"
Siskiyou ,19.6,"44,039"
Solano ,11.9,"397,076"
Sonoma ,11.5,"476,043"
Stanislaus ,19.2,"508,890"
Sutter ,17.0,"93,434"
Tehama ,20.3,"62,314"
Trinity ,17.7,"13,409"
Tulare ,24.8,"435,395"
Tuolumne ,13.1,"51,217"
Ventura ,10.3,"811,132"
Yolo ,18.7,"193,063"
Yuba ,20.6,"70,740"
